date,open,high,low,close,volume,vwap,transactions,ticker
2021-11-29,464.07,466.56,461.73,464.6,86240818.0,464.0689,571696,SPY
2021-11-30,462.0,464.03,455.3,455.56,148559598.0,458.8431,1145807,SPY
2021-12-01,461.64,464.67,450.29,450.5,132414435.0,457.4152,1039069,SPY
2021-12-02,450.73,459.07,450.31,457.4,127637758.0,455.7043,1022777,SPY
2021-12-03,459.17,460.3,448.92,453.42,137331647.0,453.0439,1234209,SPY
2021-12-06,456.13,460.79,453.56,458.79,97477532.0,457.5764,765876,SPY
2021-12-07,464.41,468.88,458.6546,468.28,95467688.0,466.813,640751,SPY
2021-12-08,468.7,470.0,466.83,469.52,71609277.0,468.5873,507901,SPY
2021-12-09,468.15,469.6291,466.14,466.35,61272568.0,467.9605,489126,SPY
2021-12-10,469.23,470.9,466.51,470.74,77128507.0,468.9296,513526,SPY
2021-12-13,470.19,470.56,466.27,466.57,87724680.0,468.0599,615392,SPY
2021-12-14,463.09,465.74,460.25,463.36,97159128.0,463.1988,627255,SPY
2021-12-15,463.42,470.86,460.74,470.6,116899251.0,465.8393,882924,SPY
2021-12-16,472.57,472.87,464.8,466.45,116494626.0,468.7097,820646,SPY
2021-12-17,461.55,464.74,458.06,459.87,135583150.0,461.5026,889475,SPY
2021-12-20,454.48,455.4,451.14,454.98,106788817.0,454.1844,807669,SPY
2021-12-21,458.61,463.21,456.31,463.06,69806260.0,460.2953,619585,SPY
2021-12-22,462.79,467.81,462.58,467.69,58790223.0,465.801,454693,SPY
2021-12-23,468.75,472.19,468.64,470.6,56139745.0,470.6108,381386,SPY
2021-12-27,472.06,477.31,472.01,477.26,56808619.0,475.279,380197,SPY
2021-12-28,477.72,478.81,476.06,476.87,46974585.0,477.2276,372331,SPY
2021-12-29,476.98,478.56,475.92,477.48,54091464.0,477.2659,345712,SPY
2021-12-30,477.93,479.0,475.67,476.16,55329041.0,477.4587,353567,SPY
2021-12-31,475.64,476.86,474.67,474.96,64917431.0,475.6196,435448,SPY
2022-01-03,476.3,477.85,473.85,477.71,72668233.0,476.527,535421,SPY
2022-01-04,479.22,479.98,475.58,477.55,71070678.0,477.8703,565655,SPY
2022-01-05,477.16,477.98,468.2801,468.38,104494940.0,473.2328,788712,SPY
2022-01-06,467.89,470.82,465.43,467.94,86498500.0,468.4813,806488,SPY
2022-01-07,467.95,469.2,464.65,466.09,85111593.0,466.939,625067,SPY
2022-01-10,462.7,465.74,456.5973,465.51,119361988.0,461.5904,963294,SPY
2022-01-11,465.23,469.85,462.05,469.75,74189562.0,466.4853,626792,SPY
2022-01-12,471.59,473.2,468.94,471.02,67602444.0,470.9955,632057,SPY
2022-01-13,472.19,472.88,463.44,464.53,91137601.0,467.9368,724347,SPY
2022-01-14,461.19,465.09,459.9,464.72,95890948.0,462.9488,855904,SPY
2022-01-18,459.74,459.96,455.31,456.49,109851226.0,457.9682,911795,SPY
2022-01-19,458.13,459.6124,451.46,451.75,108347069.0,455.5262,880787,SPY
2022-01-20,453.75,458.74,444.5,446.75,122001796.0,452.3944,986090,SPY
2022-01-21,445.56,448.06,437.95,437.98,202025141.0,442.5437,1885192,SPY
2022-01-24,432.03,440.38,420.76,439.84,252248938.0,430.7247,3263011,SPY
2022-01-25,433.06,439.72,427.15,434.47,167685150.0,433.6947,1832295,SPY
2022-01-26,440.72,444.04,428.86,433.38,186240418.0,437.1371,2620794,SPY
2022-01-27,438.26,441.59,429.45,431.24,149846107.0,434.5969,1837412,SPY
2022-01-28,432.68,442.0,427.82,441.95,164188170.0,435.3435,1759648,SPY
2022-01-31,441.24,450.28,439.81,449.91,152106025.0,445.9021,1132217,SPY
2022-02-01,450.68,453.63,446.9384,452.95,123155381.0,450.7136,1094848,SPY
2022-02-02,455.5,458.12,453.05,457.35,116776953.0,455.6624,998599,SPY
2022-02-03,450.95,452.97,445.71,446.6,118024442.0,449.827,1106476,SPY
2022-02-04,446.35,452.78,443.83,448.7,118436652.0,448.3226,1162845,SPY
2022-02-07,449.51,450.99,445.85,447.26,84472859.0,448.6198,759934,SPY
2022-02-08,446.73,451.92,445.22,450.94,80981286.0,449.0816,685659,SPY
2022-02-09,455.22,457.88,455.005,457.54,92495929.0,455.9303,670714,SPY
2022-02-10,451.34,457.71,447.2,449.32,140103712.0,452.9121,1217132,SPY
2022-02-11,449.41,451.605,438.94,440.46,153214597.0,444.1699,1467422,SPY
2022-02-14,439.92,441.6,435.34,439.02,122934262.0,438.9049,1148020,SPY
2022-02-15,443.73,446.28,443.18,446.1,88641503.0,444.6794,751040,SPY
2022-02-16,443.93,448.055,441.94,446.6,84815085.0,444.9697,784456,SPY
2022-02-17,443.22,446.5652,436.42,437.06,102259108.0,439.9789,850969,SPY
2022-02-18,437.33,438.66,431.82,434.23,132502896.0,435.2278,1137286,SPY
2022-02-22,431.89,435.5,425.86,429.57,124379870.0,430.707,1213511,SPY
2022-02-23,432.66,433.26,421.35,421.95,132374005.0,425.9146,1166037,SPY
2022-02-24,411.02,428.76,410.64,428.3,213923446.0,419.7499,2316981,SPY
2022-02-25,429.61,437.84,427.86,437.75,121785659.0,434.3466,1141900,SPY
2022-02-28,432.03,438.2,430.7,436.63,145594529.0,434.5719,1305973,SPY
2022-03-01,435.04,437.17,427.11,429.98,137720158.0,431.6669,1422063,SPY
2022-03-02,432.37,439.72,431.57,437.89,117711825.0,436.2299,1252755,SPY
2022-03-03,440.47,441.11,433.8,435.71,105501715.0,436.9085,1039161,SPY
2022-03-04,431.75,433.37,427.88,432.17,114083256.0,430.9209,1085108,SPY
2022-03-07,431.55,432.3018,419.36,419.43,137811760.0,423.9601,1448619,SPY
2022-03-08,419.62,427.21,415.12,416.25,164739744.0,419.763,1950899,SPY
2022-03-09,425.14,429.51,422.82,427.41,116832265.0,426.181,1133569,SPY
2022-03-10,422.52,426.43,420.44,425.48,93972655.0,423.8766,917457,SPY
2022-03-11,428.12,428.77,419.53,420.07,95360277.0,423.9476,837760,SPY
2022-03-14,420.89,424.55,415.79,417.0,95729188.0,419.1776,897065,SPY
2022-03-15,419.77,426.84,418.42,426.17,106134117.0,422.761,949202,SPY
2022-03-16,429.89,435.68,424.8,435.62,144704805.0,431.3891,1405236,SPY
2022-03-17,433.59,441.07,433.19,441.07,102651870.0,437.6986,812423,SPY
2022-03-18,438.0,444.86,437.22,444.52,106332044.0,441.5188,814468,SPY
2022-03-21,444.34,446.46,440.68,444.39,88249756.0,443.8006,937033,SPY
2022-03-22,445.86,450.58,445.86,449.59,74280394.0,448.5657,637073,SPY
2022-03-23,446.91,448.49,443.71,443.8,79367033.0,446.0537,641633,SPY
2022-03-24,445.94,450.5,444.76,450.49,64736892.0,447.7172,538727,SPY
2022-03-25,451.16,452.98,448.43,452.69,76738724.0,451.0456,662816,SPY
